id;status;date;amount;mean_of_payment;deliveryadress
1;PAID;2024-11-06;19061.68;CB;definite aside
2;BASKET;2024-11-07;14230.99;ONLINEPAYMENT;less
3;BASKET;2024-11-07;10574.58;CB;if instead
4;PAID;2024-11-07;10967.98;ONLINEPAYMENT;less
5;PAID;2024-11-06;30537.01;CB;strait friendly
6;BASKET;2024-11-07;12740.49;ONLINEPAYMENT;quicker contractor since
7;BASKET;2024-11-07;22895.21;ONLINEPAYMENT;quicker contractor since
8;PAID;2024-11-07;12122.66;ONLINEPAYMENT;if instead
9;PAID;2024-11-06;29582.2;ONLINEPAYMENT;quicker contractor since
10;PAID;2024-11-07;3291.66;CB;the
