id;color;size;quantity;version;clothe_id
1;PURPLE;EIGHT;1;1;1
2;PINK;FOURTEEN;1653;1;3
3;BROWN;TWELVE;22717;1;2
4;BLACK;L;888900;1;4
5;BROWN;L;0;1;5
6;PURPLE;XS;4714;1;6
7;PURPLE;L;22786;1;7
8;GRAY;TWELVE;30078;1;8
9;ORANGE;XS;0;1;9
10;ORANGE;TWELVE;2750800;1;10
11;PURPLE;EIGHT;5611;1;11
12;PINK;FOURTEEN;1653;1;12
13;BROWN;TWELVE;22717;1;13
14;BLACK;L;888900;1;14
15;BROWN;L;0;1;15
16;PURPLE;XS;4714;1;16
17;PURPLE;L;22786;1;17
18;GRAY;TWELVE;30078;1;18
19;ORANGE;XS;0;1;19
20;ORANGE;TWELVE;2750800;1;20
21;PURPLE;EIGHT;5611;1;21
22;PINK;FOURTEEN;1653;1;22
23;BROWN;TWELVE;22717;1;23
24;BLACK;L;888900;1;24
25;BROWN;L;0;1;25
26;PURPLE;XS;4714;1;26
27;PURPLE;L;22786;1;27
28;GRAY;TWELVE;30078;1;28
29;ORANGE;XS;0;1;29
30;ORANGE;TWELVE;2750800;1;30
31;PURPLE;EIGHT;5611;1;31
32;PINK;FOURTEEN;1653;1;33
33;BROWN;TWELVE;22717;1;32
34;BLACK;L;888900;1;34
35;BROWN;L;0;1;35
36;PURPLE;XS;4714;1;36
37;PURPLE;L;22786;1;37
38;GRAY;TWELVE;30078;1;38
39;ORANGE;XS;0;1;39
40;ORANGE;TWELVE;2750800;1;40
41;PURPLE;EIGHT;5611;1;41
42;PINK;FOURTEEN;1653;1;42
43;BROWN;TWELVE;22717;1;43
44;BLACK;L;888900;1;44
45;BROWN;L;0;1;45
46;PURPLE;XS;4714;1;46
47;PURPLE;L;22786;1;47
48;GRAY;TWELVE;30078;1;48
49;ORANGE;XS;0;1;49
50;ORANGE;TWELVE;2750800;1;50
51;PURPLE;EIGHT;5611;1;51
52;PINK;FOURTEEN;1653;1;53
53;BROWN;TWELVE;22717;1;52
54;BLACK;L;888900;1;54
55;BROWN;L;0;1;55
56;PURPLE;XS;4714;1;56
57;PURPLE;L;22786;1;57
58;GRAY;TWELVE;30078;1;58
59;ORANGE;XS;0;1;59
60;ORANGE;TWELVE;2750800;1;60
61;PURPLE;EIGHT;5611;1;61
62;PINK;FOURTEEN;1653;1;62
63;BROWN;TWELVE;22717;1;63
64;BLACK;L;888900;1;64
65;BROWN;L;0;1;65
66;PURPLE;XS;4714;1;66
67;PURPLE;L;22786;1;67
68;GRAY;TWELVE;30078;1;68
69;ORANGE;XS;0;1;69
70;ORANGE;TWELVE;2750800;1;70
71;PURPLE;EIGHT;5611;1;71
72;PINK;FOURTEEN;1653;1;72
73;BROWN;TWELVE;22717;1;73
74;BLACK;L;888900;1;74
75;BROWN;L;0;1;75
76;PURPLE;XS;4714;1;76
77;PURPLE;L;22786;1;77
78;GRAY;TWELVE;30078;1;78
79;PURPLE;L;22786;1;79
80;GRAY;TWELVE;30078;1;80
81;PURPLE;EIGHT;5611;1;81
82;PINK;FOURTEEN;1653;1;82
83;BROWN;TWELVE;22717;1;83
84;BLACK;L;888900;1;84
85;BROWN;L;0;1;85
86;PURPLE;XS;4714;1;86
87;PURPLE;L;22786;1;87
88;GRAY;TWELVE;30078;1;88
89;PURPLE;L;22786;1;89
90;GRAY;TWELVE;30078;1;90
91;PURPLE;EIGHT;5611;1;91
92;PINK;FOURTEEN;1653;1;92
93;BROWN;TWELVE;22717;1;93
94;BLACK;L;888900;1;94
95;BROWN;L;0;1;95
96;PURPLE;XS;4714;1;96
97;PURPLE;L;22786;1;97
98;GRAY;TWELVE;30078;1;98
99;PURPLE;L;22786;1;99
100;GRAY;XL;0;1;99
